-17,12,6500,65.000000,65.000000
-135,130,6500,65.000000,65.000000
-294,284,6500,65.000000,65.000000
-358,346,6500,65.000000,65.000000
-386,372,6500,65.000000,65.000000
-401,387,6500,65.000000,65.000000
-407,391,6500,65.000000,65.000000
-410,395,6500,65.000000,65.000000
-410,395,6500,65.000000,65.000000
-412,398,6500,65.000000,65.000000
-406,393,6500,65.000000,65.000000
-411,397,6500,65.000000,65.000000
-411,398,6500,65.000000,65.000000
-412,397,6500,65.000000,65.000000
-412,399,6500,65.000000,65.000000
-411,399,6500,65.000000,65.000000
-412,399,6500,65.000000,65.000000
-412,398,6500,65.000000,65.000000
-412,399,6500,65.000000,65.000000
-412,399,6500,65.000000,65.000000
-411,399,6500,65.000000,65.000000
-412,399,6500,65.000000,65.000000
-412,398,6500,65.000000,65.000000
-411,398,6500,65.000000,65.000000
-411,398,6500,65.000000,65.000000
-410,398,6500,65.000000,65.000000
-410,397,6500,65.000000,65.000000
-410,397,6500,65.000000,65.000000
-409,397,6500,65.000000,65.000000
-409,397,6500,65.000000,65.000000
-408,396,6500,65.000000,65.000000
-408,394,6500,65.000000,65.000000
-407,394,6500,65.000000,65.000000
-407,394,6500,65.000000,65.000000
-406,394,6500,65.000000,65.000000
-406,394,6500,65.000000,65.000000
-405,392,6500,65.000000,65.000000
-403,391,6500,65.000000,65.000000
-403,390,6500,65.000000,65.000000
-404,391,6500,65.000000,65.000000
-406,394,6500,65.000000,65.000000
-407,394,6500,65.000000,65.000000
-408,396,6500,65.000000,65.000000
-408,394,6500,65.000000,65.000000
-409,396,6500,65.000000,65.000000
-408,395,6500,65.000000,65.000000
-409,396,6500,65.000000,65.000000
-409,396,6500,65.000000,65.000000
